Eval 1,Eval 2,Eval 3,Area(s) of Interest,Faculty Identified,Institution Region (BS),Institution Ranking (BS),BS Major,BS GPA,Institution Region (MS),Institution Ranking (MS),MS Major,MS GPA,Int'l pubs,Research Experience,GRE Quan,GRE Ver,GRE AWA,GRE Total,TOEFL,IELTS,Has MS,US Degree
2,1,2,"Security, ML, Programming",1,iran,222,Applied Computer Science,0.718,malaysia,2,Computer Science (Information Security),0.9475,1,0,167,159,4,326,107,,1,0
2,2,2,AI,1,bangladesh,1,Robotics and Mechatronics Engineering,0.9625,,,,,1,0,168,160,4.5,328,,8,0,0
0,0,0,"CV, Robotics, Programming Language, HCI, Data Management, ML, OS",0,nigeria,102,computer science,0.685,,,,,0,0,,,,,,,0,0
0,0,0,"Data Science, ML, Business Analysis",0,nigeria,3,Computer Science,0.625,south africa,20,Information Technology,0.63,1,0,,,,,,,1,0
2,2,2,"ML, NLP, Equation Systems, Data Science",0,iran,73,Electrical and Control Engineering,0.75,iran,8,Computer Science,0.85,1,0,170,167,5,337,108,,1,0
1,1,1,"Medical Imaging, ML/DL",1,bangladesh,19,Applied Physics and Electronic Engineering,0.7425,china,117,Computer Science and Technology,0.87,1,0,,,,,,6.5,1,0
2,1,2,"AI, ML, DL, CV, NLP",1,bangladesh,4,Computer Science and Engineering,0.8825,bangladesh,4,,,1,0,,,,,,6.5,1,0
2,2,2,Cybersecurity,1,nigeria,8,Electrical and Electronics Engineering,0.94,us,153,Electrical and Computer Engineering,0.93,1,1,157,152,4,309,102,,1,1
1,1,1,"AI, CV, Data Science",1,nigeria,30,Computer Science,0.974,,,,,0,1,157,159,4,316,96,,0,0
2,1,2,"ML, AI, NLP",1,bangladesh,1,Computer Science and Engineering,0.9425,bangladesh,1,Computer Science,0.9125,1,1,159,151,3.5,310,102,,1,0
1,1,1,SE,0,saudi arabia,21,Software Engineering,0.999,us,137,Software Engineering,1,0,0,144,133,2.5,277,,,1,1
0,0,0,"Information storage and retrieval, Data Management",0,ghana,1,Information Studies,0.645,ghana,23,Information Technology,0.8,0,0,143,147,3,290,,,1,0
1,1,1,Data Science,0,ghana,2,Actuarial Science,0.6584,ghana,1,MA Educational Leadership and Management,0.91,0,0,,,,,,,1,0
1,1,1,"ML, AI, NLP",1,bangladesh,21,Computer Science and Engineering,0.82,,,,,1,0,157,144,3,301,,7,0,0
1,1,2,"SE, Data Mining, ML, NLP",1,iran,4,Computer Engineering (Software),0.8,iran,9,Software Engineering,0.7975,1,0,163,134,2,297,84,,1,0
2,2,2,Cybersecurity,0,iran,73,Applied Mathematics,0.6505,iran,6,IT Engineering- Information Security,3.7425,1,0,165,161,4,326,104,,1,0
1,1,1,"Image Analysis, CV, AI",1,iran,115,Civil Engineering,0.74,iran,10,Environmental Engineering,0.845,1,0,,,,,,6,1,0
2,2,2,"Health&medical Informatics, ML, DL, NLP",1,iran,4,Electrical Engineering,0.781,iran,4,Computer Engineering,0.7325,1,0,170,153,3,323,105,,1,0
1,1,1,Computing and Information Systems,0,saudi arabia,33,software engineering,0.913,saudi arabia,2,Computer Science,0.99,1,0,,,,,,,1,0
1,2,2,"AI, ML, DL, CV, Robotics",1,iran,17,Computer Engineering,0.879,,,,,0,0,160,155,4,315,111,,0,0
1,1,1,"CV, DL",1,bangladesh,25,Computer Science and Engineering,0.985,,,,,1,0,161,148,3,309,96,,0,0
1,1,1,"ML, DL, Math Modeling, Quantitative Finance, AstroPhysics",0,nepal,1,Physics,,,,,,0,0,,,,,99,,0,0
0,0,1,Cybersecurity,0,ghana,2,computer science and information systems,0.675,,,,,0,0,,,,,,,0,0
1,1,1,"HCI, XR",1,us,89,Computer Science,0.8,,,,,0,1,,,,,,,0,1
1,2,2,"HCI, Accessibility",1,russia,3,,,russia,1,Psychology,1,1,0,,,,,95,,1,0
1,1,1,CV,1,china,174,Accountin,0.77,uk,20,Computing with placement,,0,0,,,,,,6.5,1,0
0,0,0,"HCI, CV, Signal Processing",0,india,68,Computer Application,0.791,uk,60,Computer Science,0.8325,0,0,141,130,2.5,271,,,1,0
1,1,1,"CV, NLP, HCI, Medical Informatics",1,bangladesh,59,Computer Science and Engineering,0.9275,bangladesh,29,,,1,0,155,142,3,297,,7,1,0
2,2,2,"NLP, ML",1,bangladesh,21,Electronics and Communication Engineering,0.8225,us,77,Information Sciences & Technology,1,1,0,,,,,,,1,1
0,0,0,Cloud Computing,0,sri lanka,4,,,uk,101,Information Technology,0.63,1,0,,,,,,,1,0
1,1,2,"CV, NLP",1,nepal,1,Bachelor of Electronics and Communication Engineering,0.7392,,,,,0,0,163,152,4,315,94,,0,0
1,1,2,"ML, DL",1,nepal,1,Computer Engineering,0.78,,,,,0,0,160,148,3,308,97,,0,0
1,1,1,"Data Mining, ML, NLP",0,ghana,2,Computer Engineering,0.7518,,,,,1,0,157,152,4,309,,,0,0
1,1,1,"Distributed Computing, Theory",1,iran,,Computer Software Technology Engineering,0.7545,iran,115,Computer Software Engineering,0.8285,0,0,159,137,2,296,,6.5,1,0
1,1,1,SE,1,tunisia,25,Information Technology,0.751,,,,,0,0,161,150,3,311,,7,0,0
1,1,1,HCI,0,china,659,Information Engineering,0.78,regional universities south,9,Interactive design and game development,0.975,0,0,,,,,,,1,1
