Pair,Metric,Accuracy,sex: RBT,sex: RBD,race: RBT,race: RBD
P2,Train,0.973520433,-2.03,-0.07,0.51,0.02
P2/P1,GT Train,0.867238244,-2.34,-0.08,-4.78,-0.2
P2/P1,GT Test,0.867958813,-1.11,-0.05,-2.05,-0.13
P2/P1,Unbiased Bridge,0.83461922,-2.5,-0.12,-2.04,-0.13
P2/P1,Biased Bridge,1,-1.85,-0.09,-2.03,-0.13
P2/P2,GT Train,1,0,0,0,0
P2/P2,GT Test,1,0,0,0,0
P2/P2,Unbiased Bridge,0.867378726,-1.6,-0.08,0.16,0.01
P2/P2,Biased Bridge,1,-0.91,-0.04,0,0
P2/P3,GT Train,0.831904391,-2.88,-0.09,-1.1,-0.04
P2/P3,GT Test,0.844336766,-2.05,-0.1,0.15,0.01
P2/P3,Unbiased Bridge,0.791368194,-3.2,-0.16,0.26,0.01
P2/P3,Biased Bridge,1,-2.58,-0.13,0.13,0.01
P2/Average,GT Train,0.850090933,5.61,0.18,-2.04,-0.07
P2/Average,GT Test,0.842519685,3.48,0.17,-1.38,-0.08
P2/Average,Unbiased Bridge,0.795037777,2.07,0.1,-1.18,-0.07
P2/Average,Biased Bridge,1,2.4,0.12,-1.22,-0.07
